"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/owenlennon/Desktop/cu-som-app/components/appendix/index.js", "JavaScript", 186, 0, 0, 7, 193
"/Users/owenlennon/Desktop/cu-som-app/components/articles/index.js", "JavaScript", 95, 0, 0, 5, 100
"/Users/owenlennon/Desktop/cu-som-app/components/extra/index.js", "JavaScript", 141, 0, 2, 8, 151
"/Users/owenlennon/Desktop/cu-som-app/components/home/index.js", "JavaScript", 189, 0, 0, 6, 195
"/Users/owenlennon/Desktop/cu-som-app/components/pass/index.jsx", "JavaScript JSX", 0, 28, 0, 3, 31
"/Users/owenlennon/Desktop/cu-som-app/components/personnel/index.js", "JavaScript", 169, 0, 0, 8, 177
"/Users/owenlennon/Desktop/cu-som-app/components/secondLayer/index.js", "JavaScript", 165, 0, 0, 8, 173
"/Users/owenlennon/Desktop/cu-som-app/components/thirdLayer/index.js", "JavaScript", 107, 0, 0, 5, 112
"/Users/owenlennon/Desktop/cu-som-app/components/topBar/index.js", "JavaScript", 16, 0, 0, 4, 20
"Total", "-", 1068, 28, 2, 54, 1152
